Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
GUP001	GUP001_GUP001.A0101.MT1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/000/ERR5490520/ERR5490520.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.MT1.2	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/001/ERR5490521/ERR5490521.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.MT1.3	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/002/ERR5490522/ERR5490522.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.SG1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/003/ERR5490523/ERR5490523.fastq.gz	NA	NA
GUP001_SG	GUP001_SG_GUP001.A0101.SG1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/003/ERR5490523/ERR5490523.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/004/ERR5490524/ERR5490524.fastq.gz	NA	NA
GUP001_TF	GUP001_TF_GUP001.A0101.TF1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/004/ERR5490524/ERR5490524.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.TF1.2	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/005/ERR5490525/ERR5490525.fastq.gz	NA	NA
GUP001_TF	GUP001_TF_GUP001.A0101.TF1.2	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/005/ERR5490525/ERR5490525.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.TF1.3	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/006/ERR5490526/ERR5490526.fastq.gz	NA	NA
GUP001_TF	GUP001_TF_GUP001.A0101.TF1.3	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/006/ERR5490526/ERR5490526.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0102.AA1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/007/ERR5490527/ERR5490527.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0102.SG1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/008/ERR5490528/ERR5490528.fastq.gz	NA	NA
GUP001_SG	GUP001_SG_GUP001.A0102.SG1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/008/ERR5490528/ERR5490528.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0102.TF1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/009/ERR5490529/ERR5490529.fastq.gz	NA	NA
GUP001_TF	GUP001_TF_GUP001.A0102.TF1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/009/ERR5490529/ERR5490529.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.SG1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/000/ERR5490530/ERR5490530.fastq.gz	NA	NA
GUP001_SG	GUP001_SG_GUP001.A0101.SG1.1	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/000/ERR5490530/ERR5490530.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.TF1.1_2_3	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/001/ERR5490531/ERR5490531.fastq.gz	NA	NA
GUP001_TF	GUP001_TF_GUP001.A0101.TF1.1_2_3	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/001/ERR5490531/ERR5490531.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0102.AA1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/002/ERR5490532/ERR5490532.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0102.SG1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/003/ERR5490533/ERR5490533.fastq.gz	NA	NA
GUP001_SG	GUP001_SG_GUP001.A0102.SG1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/003/ERR5490533/ERR5490533.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0102.TF1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/004/ERR5490534/ERR5490534.fastq.gz	NA	NA
GUP001_TF	GUP001_TF_GUP001.A0102.TF1.1	1	4	SE	Homo sapiens (modern human)	single	none	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR549/004/ERR5490534/ERR5490534.fastq.gz	NA	NA
GUP001	GUP001_GUP001.A0101.MT1.1_2_3	1	4	SE	Homo sapiens (modern human)	double	half	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR645/005/ERR6459665/ERR6459665.fastq.gz	NA	NA
