Sample_Name	Library_ID	Lane	Colour_Chemistry	SeqType	Organism	Strandedness	UDG_Treatment	R1	R2	BAM
I13617	I13617_ERS8208107	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I13617_ERS8208107_L1_R1.fastq.gz	NA	NA
I11717	I11717_ERS8207945	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11717_ERS8207945_L1_R1.fastq.gz	NA	NA
I16616	I16616_ERS8208689	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16616_ERS8208689_L1_R1.fastq.gz	NA	NA
I16782	I16782_ERS8208700	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I16782_ERS8208700_L1_R1.fastq.gz	NA	NA
I17014	I17014_ERS8208706	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I17014_ERS8208706_L1_R1.fastq.gz	NA	NA
I11716	I11716_ERS8207944	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11716_ERS8207944_L1_R1.fastq.gz	NA	NA
I11717	I11717_ERS8207946	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11717_ERS8207946_L1_R1.fastq.gz	NA	NA
I11994	I11994_ERS8207966	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11994_ERS8207966_L1_R1.fastq.gz	NA	NA
I11721	I11721_ERS8207949	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11721_ERS8207949_L1_R1.fastq.gz	NA	NA
I11721	I11721_ERS8207950	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11721_ERS8207950_L1_R1.fastq.gz	NA	NA
I11722	I11722_ERS8207951	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11722_ERS8207951_L1_R1.fastq.gz	NA	NA
I11722	I11722_ERS8207952	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11722_ERS8207952_L1_R1.fastq.gz	NA	NA
I11971	I11971_ERS8207953	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11971_ERS8207953_L1_R1.fastq.gz	NA	NA
I12103	I12103_ERS8207986	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12103_ERS8207986_L1_R1.fastq.gz	NA	NA
I12103	I12103_ERS8207985	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12103_ERS8207985_L1_R1.fastq.gz	NA	NA
I12414	I12414_ERS8208013	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12414_ERS8208013_L1_R1.fastq.gz	NA	NA
I12412	I12412_ERS8208009	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12412_ERS8208009_L1_R1.fastq.gz	NA	NA
I12413	I12413_ERS8208011	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12413_ERS8208011_L1_R1.fastq.gz	NA	NA
I12314	I12314_ERS8208004	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12314_ERS8208004_L1_R1.fastq.gz	NA	NA
I12314	I12314_ERS8208003	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12314_ERS8208003_L1_R1.fastq.gz	NA	NA
I12171	I12171_ERS8207998	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12171_ERS8207998_L1_R1.fastq.gz	NA	NA
I12313	I12313_ERS8208002	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12313_ERS8208002_L1_R1.fastq.gz	NA	NA
I12413	I12413_ERS8208012	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12413_ERS8208012_L1_R1.fastq.gz	NA	NA
I12411	I12411_ERS8208008	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12411_ERS8208008_L1_R1.fastq.gz	NA	NA
I12411	I12411_ERS8208007	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12411_ERS8208007_L1_R1.fastq.gz	NA	NA
I12412	I12412_ERS8208010	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12412_ERS8208010_L1_R1.fastq.gz	NA	NA
I12312	I12312_ERS8207999	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12312_ERS8207999_L1_R1.fastq.gz	NA	NA
I12312	I12312_ERS8208000	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12312_ERS8208000_L1_R1.fastq.gz	NA	NA
I12313	I12313_ERS8208001	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12313_ERS8208001_L1_R1.fastq.gz	NA	NA
I11971	I11971_ERS8207954	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11971_ERS8207954_L1_R1.fastq.gz	NA	NA
I11972	I11972_ERS8207955	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11972_ERS8207955_L1_R1.fastq.gz	NA	NA
I11972	I11972_ERS8207956	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I11972_ERS8207956_L1_R1.fastq.gz	NA	NA
I12171	I12171_ERS8207997	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12171_ERS8207997_L1_R1.fastq.gz	NA	NA
I12105	I12105_ERS8207989	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12105_ERS8207989_L1_R1.fastq.gz	NA	NA
I16549	I16549_ERS8208657	1	4	SE	Homo sapiens (modern human)	single	half	<PATH_TO_DATA>/I16549_ERS8208657_L1_R1.fastq.gz	NA	NA
I12903	I12903_ERS8208065	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12903_ERS8208065_L1_R1.fastq.gz	NA	NA
I12792	I12792_ERS8208060	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12792_ERS8208060_L1_R1.fastq.gz	NA	NA
I12793	I12793_ERS8208061	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12793_ERS8208061_L1_R1.fastq.gz	NA	NA
I12790	I12790_ERS8208055	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12790_ERS8208055_L1_R1.fastq.gz	NA	NA
I12790	I12790_ERS8208056	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12790_ERS8208056_L1_R1.fastq.gz	NA	NA
I12903	I12903_ERS8208066	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12903_ERS8208066_L1_R1.fastq.gz	NA	NA
I12900	I12900_ERS8208064	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12900_ERS8208064_L1_R1.fastq.gz	NA	NA
I12791	I12791_ERS8208057	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12791_ERS8208057_L1_R1.fastq.gz	NA	NA
I12792	I12792_ERS8208059	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12792_ERS8208059_L1_R1.fastq.gz	NA	NA
I12791	I12791_ERS8208058	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12791_ERS8208058_L1_R1.fastq.gz	NA	NA
I12793	I12793_ERS8208062	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12793_ERS8208062_L1_R1.fastq.gz	NA	NA
I12900	I12900_ERS8208063	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12900_ERS8208063_L1_R1.fastq.gz	NA	NA
I12787	I12787_ERS8208053	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12787_ERS8208053_L1_R1.fastq.gz	NA	NA
I12610	I12610_ERS8208020	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12610_ERS8208020_L1_R1.fastq.gz	NA	NA
I12608	I12608_ERS8208018	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12608_ERS8208018_L1_R1.fastq.gz	NA	NA
I14467	I14467_ERS8208314	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I14467_ERS8208314_L1_R1.fastq.gz	NA	NA
I15044	I15044_ERS8208425	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I15044_ERS8208425_L1_R1.fastq.gz	NA	NA
I12610	I12610_ERS8208019	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12610_ERS8208019_L1_R1.fastq.gz	NA	NA
I12415	I12415_ERS8208016	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12415_ERS8208016_L1_R1.fastq.gz	NA	NA
I12608	I12608_ERS8208017	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12608_ERS8208017_L1_R1.fastq.gz	NA	NA
I12415	I12415_ERS8208015	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12415_ERS8208015_L1_R1.fastq.gz	NA	NA
I12414	I12414_ERS8208014	1	4	SE	Homo sapiens (modern human)	double	half	<PATH_TO_DATA>/I12414_ERS8208014_L1_R1.fastq.gz	NA	NA
